age	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002
14	45495	47678	54371	59733	63121	63248	63032	61471	60621	57951	54885	52735	52850	52873	50881	52191	52250	52641	51361	51116	50380	51335	52762	55384	60408	60188	59959	59181	55674	52558	53795	55530	55093	54353	54725	51972	49266	48090	47053	48875	49906	48718	48155	47789	48980	51148	52959	54639
15	46546	45557	47721	54453	59797	63126	63461	63146	61559	60717	58078	55069	52884	52966	53011	51228	52518	52388	52633	51357	51158	50459	51427	52828	55396	60427	60200	59960	59196	55691	52611	53820	55583	55203	54502	54947	52132	49452	48227	47296	49293	50001	48782	48262	47946	49082	51326	53160
16	44676	46690	45659	47909	54557	59861	63299	63612	63315	61704	60947	58379	55329	53074	53185	53504	51769	52726	52451	52684	51497	51314	50633	51619	52931	55481	60538	60252	60004	59200	55719	52650	53918	55702	55344	54730	55127	52292	49577	48505	47684	49386	50076	48885	48405	48083	49271	51573
17	42905	44970	46970	45946	48106	54707	60187	63515	63803	63557	62052	61461	58774	55671	53487	53967	54261	52053	52896	52549	52883	51724	51564	50911	51832	53128	55648	60614	60314	60080	59275	55802	52758	54034	55855	55616	54908	55324	52491	49841	48906	47832	49459	50188	49020	48576	48259	49493
18	42699	43390	45367	47390	46220	48343	55062	60461	63756	64100	64036	62725	62151	59232	56248	54533	55058	54541	52265	53037	52831	53164	52044	51922	51204	52196	53485	55804	60777	60396	60193	59421	55999	52985	54316	56286	55955	55143	55567	52837	50353	49101	47981	49666	50491	49267	48865	48549
19	41101	43302	43889	45815	47762	46460	48836	55378	60723	64066	64601	64813	63510	62696	59939	57509	55822	55411	54667	52446	53390	53309	53689	52570	52421	51745	52794	53836	56022	60939	60626	60455	59770	56386	53393	55004	56824	56357	55484	56033	53503	50709	49326	48138	49770	50587	49423	49133
20	41353	41677	43807	44396	46096	47836	46884	49232	55548	60996	64469	65245	65464	63999	63306	61391	58811	56131	55454	54811	52868	53854	53868	54283	53085	52943	52273	53055	54020	56184	61212	60883	60756	60123	56864	54131	55639	57122	56731	55948	56659	53778	50962	49475	48387	50113	51050	49862
21	41298	41847	42117	44165	44605	46199	48145	47136	49469	55677	61319	65018	65766	65804	64478	64568	62564	59077	56095	55529	55171	53232	54371	54572	54817	53595	53404	52550	53169	54148	56411	61495	61221	61102	60539	57567	54691	56008	57528	57249	56498	56905	53995	51173	49690	48684	50511	51471
22	43835	41662	42161	42398	44231	44593	46441	48389	47262	49625	55953	61800	65385	65974	66129	65576	65615	62740	58884	56084	55784	55550	53729	54934	55085	55333	53975	53523	52689	53261	54339	56667	61847	61531	61550	61228	58182	55119	56331	58077	57877	56813	57128	54130	51371	50036	49155	51017
23	44428	44124	41820	42506	42408	44142	44793	46639	48469	47357	49900	56295	62076	65461	66170	67112	66478	65654	62497	58755	56183	56057	56012	54292	55344	55448	55674	54162	53641	52790	53414	54602	57015	62206	62000	62247	61818	58645	55514	56880	58667	58129	56971	57252	54350	51740	50562	49743
24	45723	44648	44263	41985	42601	42280	44149	44906	46691	48522	47593	50279	56517	62028	65546	66843	67824	66469	65342	62355	58923	56490	56414	56503	54723	55727	55720	55822	54219	53678	52959	53647	54881	57367	62687	62764	62836	62249	59105	56025	57489	58918	58285	57163	57556	54672	52199	51164
25	45056	45902	44729	44322	42094	42494	42359	44248	44926	46743	48691	47887	50560	56503	61982	66011	67320	67781	66045	65104	62415	59106	56779	56841	56829	55007	55981	55794	55913	54211	53844	53114	53888	55263	57839	63388	63350	63262	62574	59593	56729	57701	59107	58473	57378	57858	55151	52691
26	47267	45229	46034	44823	44360	42018	42243	42439	44293	44948	46933	49008	48128	50525	56531	62377	66352	67198	67357	65866	65172	62514	59339	57147	57124	57023	55132	56100	55850	55898	54309	53977	53348	54154	55692	58419	63942	63724	63584	63051	60264	56947	57845	59259	58737	57724	58326	55676
27	46629	47369	45274	46109	44853	44283	41937	42311	42484	44287	45087	47201	49241	48122	50500	56900	62650	66249	66813	67043	65793	65263	62669	59684	57318	57279	57140	55231	56049	55866	55937	54429	54134	53668	54561	56287	58990	64288	64032	64010	63625	60474	57065	57966	59423	58974	58124	58771
28	48301	46759	47419	45336	46111	44762	44281	41988	42285	42509	44417	45325	47384	49254	48104	50861	57110	62554	65918	66534	66951	65854	65341	62981	59852	57440	57371	57169	55196	55994	55944	56045	54620	54380	54037	55073	56825	59382	64512	64451	64609	63727	60511	57194	58131	59665	59374	58545
29	50137	48440	46790	47499	45336	46060	44774	44327	41985	42316	42579	44640	45493	47379	49276	48343	51149	57047	62259	65610	66511	67045	65942	65604	63113	59931	57495	57313	57164	55131	56005	56043	56143	54901	54704	54600	55514	57177	59686	64888	65036	64716	63749	60608	57421	58313	59933	59723
30	51307	50206	48469	46891	47511	45311	46128	44811	44328	41987	42428	42743	44796	45499	47385	49518	48515	51052	56744	61984	65559	66516	67115	66166	65689	63116	59904	57433	57281	57140	55142	56061	56191	56356	55208	55227	55045	55831	57371	60099	65547	65064	64661	63793	60791	57586	58655	60326
31	52504	51346	50252	48509	46879	47448	45237	46117	44804	44349	42060	42605	42886	44814	45497	47574	49708	48400	50777	56537	61961	65595	66584	67239	66185	65691	63109	59826	57361	57248	57153	55200	56160	56381	56671	55634	55558	55361	56040	57747	60629	65587	65094	64736	63912	60945	57891	59057
32	53581	52528	51365	50313	48560	46806	47338	45258	46117	44771	44424	42194	42735	42882	44835	45668	47810	49662	48180	50620	56510	61964	65645	66717	67296	66209	65618	63033	59783	57338	57217	57167	55254	56359	56630	57054	55930	55820	55601	56414	58324	60670	65561	65103	64855	64070	61150	58186
33	57626	53678	52529	51411	50300	48507	46778	47340	45259	46133	44831	44515	42298	42740	42872	44969	45817	47739	49467	48007	50553	56514	61983	65710	66712	67305	66153	65516	62966	59663	57269	57207	57210	55396	56582	56958	57354	56128	55974	55944	56910	58359	60708	65620	65160	64973	64352	61440
34	61599	57662	53647	52596	51434	50268	48385	46762	47349	45243	46178	44929	44605	42318	42760	43033	45177	45782	47549	49254	47958	50568	56526	62069	65690	66669	67208	66061	65446	62883	59629	57246	57267	57313	55624	56891	57230	57551	56304	56283	56458	56919	58347	60673	65747	65235	65177	64542
35	50829	61627	57677	53694	52613	51386	50150	48385	46728	47343	45270	46280	44989	44586	42274	42881	43202	45106	45643	47449	49223	47964	50591	56587	62065	65694	66550	67103	66037	65388	62845	59581	57271	57374	57438	55908	57129	57403	57684	56593	56796	56462	56880	58413	60738	65838	65452	65416
36	51217	50840	61579	57738	53722	52537	51291	50177	48388	46673	47379	45382	46344	44958	44568	42375	43041	43186	44967	45505	47424	49226	47983	50643	56576	62026	65632	66486	67070	65981	65393	62797	59583	57320	57508	57679	56194	57322	57486	57936	56956	56807	56387	56951	58457	60845	65947	65684
37	52103	51196	50790	61597	57698	53653	52344	51289	50120	48349	46682	47445	45454	46309	44959	44678	42453	42987	43050	44843	45483	47446	49254	48031	50625	56571	61978	65554	66424	67013	65956	65362	62763	59672	57396	57703	57874	56278	57423	57757	58309	56937	56809	56354	56937	58559	61026	66170
38	51676	52073	51150	50782	61554	57600	53393	52317	51267	50110	48389	46763	47483	45452	46268	45081	44782	42457	42840	42939	44802	45468	47424	49316	48026	50612	56490	61916	65440	66369	67005	65912	65359	62795	59783	57586	57826	58010	56298	57670	58071	58324	56902	56779	56440	56961	58625	61182
39	51865	51641	52005	51128	50740	61444	57469	53372	52266	51219	50108	48422	46788	47466	45455	46358	45198	44747	42323	42731	42897	44822	45460	47437	49302	47991	50593	56435	61833	65372	66341	66938	65905	65377	62878	59930	57693	57861	58032	56464	57974	58077	58270	56864	56870	56472	57040	58771
40	53982	51840	51593	51995	51102	50675	61267	57444	53342	52219	51215	50141	48424	46742	47427	45541	46433	45172	44635	42227	42716	42879	44798	45459	47415	49265	47907	50545	56381	61750	65286	66298	66898	65900	65446	62969	60059	57730	57876	58152	56762	57937	58064	58244	56841	56883	56624	57195
41	53910	53958	51784	51563	51953	51002	50389	61253	57388	53299	52204	51207	50153	48389	46677	47510	45646	46380	45056	44556	42198	42691	42890	44796	45435	47364	49200	47860	50500	56325	61718	65246	66264	66901	65948	65532	63080	60077	57703	58025	58360	56763	57923	58005	58290	56851	56962	56758
42	54700	53877	53894	51770	51500	51846	50850	50345	61171	57355	53286	52196	51195	50088	48319	46748	47584	45609	46259	44917	44507	42168	42679	42867	44791	45396	47313	49106	47847	50452	56276	61695	65200	66237	66923	65986	65580	63051	60080	57770	58206	58310	56729	57863	57987	58282	56960	57062
43	53615	54663	53797	53838	51705	51378	51727	50799	50277	61114	57291	53265	52175	51139	50037	48340	46821	47517	45503	46169	44864	44456	42146	42668	42817	44753	45340	47243	49041	47786	50378	56237	61622	65175	66276	66970	66044	65516	62998	60139	57895	58201	58240	56689	57846	58004	58285	57053
44	53534	53543	54542	53758	53746	51577	51186	51650	50715	50183	61029	57233	53206	52105	51060	50019	48386	46745	47384	45385	46105	44782	44424	42150	42609	42760	44671	45289	47191	48971	47742	50289	56181	61575	65143	66313	66955	65993	65451	63035	60275	57860	58124	58188	56706	57811	58041	58341
45	55025	53447	53442	54460	53693	53631	51331	51116	51587	50615	50127	60997	57193	53135	52029	51052	50018	48263	46621	47276	45311	46080	44761	44400	42105	42558	42721	44615	45257	47114	48899	47699	50238	56109	61515	65147	66277	66899	65898	65421	63125	60232	57765	58067	58136	56659	57852	58052
46	53666	54904	53313	53355	54325	53565	53364	51235	51044	51478	50545	50044	60909	57128	53042	52006	51054	49942	48111	46510	47205	45256	46026	44717	44318	42049	42500	42624	44523	45171	47052	48855	47623	50204	56089	61507	65103	66204	66790	65894	65450	63048	60112	57667	58011	58100	56682	57908
47	52401	53566	54787	53215	53241	54178	53297	53217	51127	50941	51382	50450	49968	60744	56984	52975	51993	50936	49768	47968	46427	47120	45197	45952	44656	44224	41957	42412	42550	44417	45087	46982	48780	47587	50150	56070	61455	65016	66109	66764	65929	65379	62945	60010	57659	57949	58088	56703
48	51378	52260	53436	54646	53098	53091	53865	53177	53099	51008	50832	51301	50345	49835	60591	56911	52975	51832	50727	49618	47879	46313	47033	45125	45864	44571	44126	41877	42304	42469	44364	45003	46884	48684	47536	50145	55992	61364	64908	65998	66730	65833	65257	62835	59922	57606	57947	58054
49	50493	51216	52108	53278	54481	52931	52826	53727	53044	52975	50882	50713	51164	50195	49698	60515	56799	52833	51672	50601	49473	47752	46219	46965	45036	45772	44482	44013	41795	42228	42393	44306	44931	46832	48602	47524	50075	55914	61241	64820	65963	66654	65712	65129	62718	59862	57568	57901
50	49105	50282	51046	51958	53107	54265	52655	52652	53562	52868	52828	50757	50571	51068	50072	49626	60405	56634	52661	51473	50475	49363	47631	46101	46867	44964	45662	44350	43929	41671	42139	42284	44197	44861	46760	48550	47479	49991	55792	61133	64784	65837	66470	65576	65031	62580	59785	57499
51	47982	48923	50085	50871	51775	52901	53984	52459	52495	53396	52707	52669	50615	50401	50915	49931	49503	60216	56401	52466	51322	50295	49232	47511	45962	46719	44830	45525	44277	43793	41605	42046	42194	44108	44809	46713	48441	47401	49901	55701	61074	64639	65681	66305	65443	64909	62442	59696
52	48217	47786	48750	49910	50667	51540	52546	53775	52275	52323	53182	52528	52505	50471	50275	50802	49808	49340	59951	56190	52301	51150	50144	49111	47377	45812	46586	44725	45387	44136	43666	41470	41975	42111	44043	44776	46636	48352	47302	49821	55643	60947	64465	65471	66164	65287	64779	62335
53	47143	47968	47554	48540	49662	50430	51247	52333	53544	52030	52125	52966	52347	52369	50254	50082	50655	49593	49102	59696	55965	52083	50957	49972	48952	47212	45648	46459	44568	45240	43979	43527	41354	41862	42032	43953	44655	46564	48196	47246	49803	55518	60757	64263	65300	65978	65194	64630
54	46373	46916	47748	47333	48339	49429	50118	50981	52087	53306	51812	51926	52747	52121	52169	50074	49898	50420	49356	48879	59430	55770	51890	50788	49775	48748	47029	45503	46303	44383	45129	43855	43387	41239	41786	41964	43867	44539	46422	48088	47228	49682	55347	60575	64080	65160	65819	65053
55	43563	46098	46637	47495	47121	48090	49067	49867	50765	51829	53046	51586	51689	52588	51898	51936	49881	49675	50183	49133	48653	59164	55530	51691	50597	49548	48536	46848	45339	46112	44208	44947	43683	43243	41128	41693	41862	43752	44400	46342	48032	47169	49512	55138	60379	63885	64947	65661
56	43500	43302	45817	46344	47205	46818	47723	48828	49604	50471	51575	52754	51326	51408	52327	51670	51746	49657	49376	49911	48883	48406	58889	55280	51510	50378	49354	48324	46620	45166	45925	44044	44792	43531	43129	41038	41561	41706	43581	44281	46329	47910	47013	49333	54951	60158	63648	64760
57	41898	43197	43015	45495	46050	46885	46381	47441	48559	49303	50223	51276	52450	51096	51111	52091	51451	51470	49363	49124	49626	48626	48171	58612	55033	51266	50101	49135	48115	46418	44944	45734	43848	44661	43368	42995	40912	41427	41568	43503	44228	46210	47721	46852	49118	54718	59900	63440
58	41217	41569	42878	42690	45184	45727	46474	46072	47128	48267	48984	49887	50960	52122	50753	50849	51810	51142	51117	49056	48807	49344	48384	47938	58300	54719	50992	49847	48909	47907	46180	44716	45522	43660	44481	43187	42823	40719	41270	41437	43478	44107	46064	47499	46646	48912	54490	59668
59	40544	40867	41243	42543	42369	44819	45290	46127	45696	46752	47922	48665	49549	50658	51727	50448	50547	51467	50766	50796	48760	48501	49018	48097	47662	57942	54362	50669	49568	48654	47634	45898	44477	45326	43465	44313	42996	42614	40532	41109	41386	43341	43953	45846	47274	46454	48719	54254
60	38799	40140	40497	40871	42174	42011	44360	44929	45759	45329	46413	47545	48307	49220	50293	51362	50136	50208	51109	50434	50471	48440	48165	48683	47751	47320	57574	54006	50388	49273	48380	47348	45642	44280	45108	43264	44109	42827	42419	40396	41055	41290	43154	43709	45624	47053	46242	48493
61	37784	38378	39719	40072	40461	41723	41539	43947	44542	45400	44932	46005	47131	47963	48831	49897	50988	49797	49800	50708	50036	50083	48086	47838	48336	47418	46989	57154	53644	50054	48956	48036	47083	45361	44031	44905	43056	43896	42591	42218	40329	40956	41104	42898	43454	45357	46796	46017
62	36058	37361	37923	39242	39611	40027	41206	41128	43534	44120	44951	44473	45551	46732	47552	48330	49464	50530	49294	49398	50320	49617	49667	47713	47468	47986	47025	46636	56773	53273	49689	48613	47692	46736	45076	43771	44626	42795	43663	42371	42097	40151	40723	40860	42597	43184	45101	46550
63	36037	35608	36881	37408	38766	39169	39519	40766	40685	43047	43629	44496	43970	45085	46271	47066	47922	48989	49997	48786	48962	49848	49141	49250	47290	47068	47538	46626	46223	56324	52847	49305	48223	47338	46417	44768	43496	44304	42458	43434	42194	41930	39895	40417	40532	42308	42881	44849
64	34372	35527	35116	36348	36936	38259	38550	39008	40215	40179	42478	43092	44003	43533	44556	45749	46557	47376	48461	49477	48280	48490	49308	48666	48838	46829	46656	47053	46233	45823	55799	52398	48882	47795	46935	46080	44473	43154	44009	42173	43257	41907	41674	39586	40079	40212	42008	42629
65	32779	33808	34950	34553	35820	36361	37615	37993	38430	39660	39654	41895	42559	43514	42958	44017	45179	46010	46815	47913	48875	47745	47911	48796	48142	48288	46316	46177	46586	45750	45381	55206	51904	48407	47371	46542	45720	44112	42847	43649	41858	42960	41603	41263	39246	39745	39897	41668
66	32547	32200	33173	34347	33994	35228	35824	37067	37401	37830	39079	39048	41319	42008	42858	42379	43485	44584	45367	46188	47283	48245	47203	47360	48217	47577	47704	45801	45673	46084	45263	44911	54585	51384	47945	46909	46116	45282	43663	42469	43379	41522	42607	41190	40884	38855	39391	39554
67	31866	31913	31537	32483	33706	33346	34513	35171	36402	36703	37168	38395	38388	40697	41341	42236	41748	42846	43908	44727	45532	46609	47614	46590	46719	47590	46973	47113	45236	45154	45563	44676	44338	54004	50826	47450	46414	45635	44836	43238	42130	43015	41128	42157	40748	40462	38491	38984
68	30333	31125	31158	30818	31750	32992	32648	33812	34479	35669	35999	36378	37696	37779	39971	40668	41532	41033	42108	43166	44026	44833	45890	46901	45947	46066	46912	46310	46426	44622	44558	44976	44101	43794	53266	50197	46867	45907	45131	44314	42858	41774	42580	40692	41680	40301	40037	38054
69	28441	29527	30340	30362	30031	30971	32159	31924	33042	33710	34872	35237	35552	36966	37015	39142	39914	40786	40274	41373	42360	43233	44069	45155	46117	45185	45324	46179	45569	45686	44015	43901	44300	43498	43146	52597	49577	46258	45287	44550	43859	42427	41277	42048	40175	41169	39835	39575
70	27457	27617	28676	29449	29574	29255	30100	31312	31119	32217	32910	34029	34388	34767	36161	36216	38337	39130	39892	39470	40529	41466	42359	43348	44337	45266	44385	44490	45397	44824	44933	43313	43227	43602	42809	42541	51821	48842	45570	44648	43968	43289	41897	40691	41456	39617	40655	39319
71	24951	26556	26748	27666	28520	28628	28269	29190	30419	30266	31333	31997	33048	33528	33873	35196	35351	37461	38209	39015	38578	39625	40522	41492	42430	43444	44302	43463	43654	44595	43981	44095	42522	42464	42797	42117	41841	50945	48089	44862	44023	43351	42625	41258	40087	40827	39053	40012
72	23405	24035	25577	25739	26737	27537	27637	27322	28204	29465	29308	30386	30973	32150	32489	32857	34235	34438	36380	37165	38024	37619	38653	39530	40456	41485	42477	43259	42544	42687	43630	43093	43207	41638	41651	42075	41304	41125	50053	47229	44084	43313	42623	41837	40559	39437	40142	38388
73	21853	22430	23028	24578	24752	25726	26386	26563	26316	27147	28458	28232	29372	30027	31033	31348	31918	33222	33428	35373	36098	36931	36536	37654	38476	39420	40448	41355	42217	41588	41729	42663	42166	42244	40708	40758	41202	40483	40291	49011	46371	43300	42473	41817	40998	39814	38701	39426
74	20664	20861	21347	21955	23459	23722	24477	25295	25372	25245	26056	27294	27083	28217	28830	29842	30254	30802	32025	32296	34196	34939	35757	35428	36567	37357	38256	39291	40214	41079	40529	40647	41565	41088	41149	39803	39783	40254	39503	39347	47961	45398	42326	41498	40948	40118	39027	37931
75	19977	19629	19807	20178	20864	22318	22453	23333	24067	24248	24095	24883	26048	26132	26996	27633	28682	29099	29539	30850	31103	32983	33701	34586	34273	35386	36139	36970	38081	39032	39850	39304	39483	40426	39921	40069	38736	38764	39198	38543	38445	46833	44301	41264	40531	39943	39205	38106
76	17854	18854	18459	18613	19038	19718	21046	21270	22026	22787	22995	22849	23632	24861	24880	25714	26366	27391	27787	28302	29540	29791	31668	32365	33240	32984	34059	34851	35676	36771	37744	38490	38047	38302	39140	38673	38851	37590	37655	38038	37506	37404	45505	43113	40114	39441	38875	38280
77	16713	16711	17620	17203	17451	17874	18420	19753	20040	20731	21493	21702	21566	22307	23450	23562	24459	25054	25922	26465	26945	28061	28338	30318	30975	31838	31519	32715	33438	34303	35350	36251	37102	36663	36924	37801	37385	37545	36330	36355	36939	36307	36286	44116	41820	38859	38287	37764
78	14376	15478	15499	16362	15974	16245	16521	17124	18369	18690	19384	20104	20270	20244	20909	22027	22263	23127	23604	24535	25071	25453	26617	26930	28752	29450	30305	30075	31255	32007	32853	33748	34730	35618	35155	35443	36294	35927	36119	34987	35146	35634	35069	35088	42633	40493	37605	36995
79	13027	13236	14282	14298	15123	14733	14892	15208	15778	17003	17357	17961	18720	18907	18793	19429	20638	20961	21667	22264	23077	23586	23910	25079	25394	27186	27899	28756	28670	29757	30416	31289	32234	33161	34003	33630	33783	34723	34352	34570	33588	33688	34279	33729	33718	40983	39020	36152
80	11287	11866	12027	12967	13004	13838	13505	13629	13920	14489	15675	16036	16594	17266	17390	17349	18018	19211	19498	20243	20816	21568	22033	22473	23458	23830	25577	26223	27118	27077	28203	28733	29587	30449	31341	32302	31955	32063	33123	32679	33000	32039	32128	32818	32212	32186	39200	37387
81	9735	10130	10720	10766	11638	11721	12452	12241	12221	12644	13172	14367	14652	15216	15770	15885	15984	16623	17679	18057	18742	19288	19922	20452	20921	21797	22185	23899	24522	25429	25428	26510	26962	27860	28537	29699	30422	30247	30242	31279	30985	31320	30400	30456	31148	30514	30516	37212
82	8390	8644	9039	9486	9609	10426	10383	11122	10929	10998	11353	11864	12987	13244	13668	14283	14409	14608	15241	16248	16553	17217	17586	18372	18832	19260	20081	20533	22226	22863	23668	23636	24662	25169	26001	26787	27740	28482	28381	28302	29472	29172	29491	28690	28746	29393	28804	28920
83	7323	7398	7593	7943	8369	8500	9146	9133	9777	9671	9816	10019	10575	11493	11750	12248	12889	13026	13231	13833	14741	14980	15646	16048	16812	17210	17627	18425	18862	20460	21080	21877	21863	22836	23266	24210	24836	25723	26536	26344	26442	27478	27329	27503	26866	26858	27564	26981
84	5886	6342	6362	6620	6925	7322	7407	7926	7922	8512	8494	8689	8872	9336	10143	10333	10948	11529	11600	11854	12473	13208	13428	14097	14460	15234	15543	15860	16735	17145	18741	19213	20060	20063	20902	21313	22223	22828	23708	24302	24276	24480	25483	25325	25530	24961	24955	25586
85	4777	5065	5404	5424	5651	5958	6261	6383	6778	6796	7405	7272	7603	7627	8110	7914	9155	9667	10124	10224	10504	11076	11701	11943	12568	12887	13553	13800	14264	15029	15502	16823	17259	18161	18147	18960	19369	20250	20778	21572	22306	22127	22404	23360	23242	23362	22862	22981
86	3645	4071	4292	4501	4548	4766	4993	5274	5383	5734	5764	6378	6222	6401	6506	6681	7656	7932	8381	8783	8903	9204	9578	10302	10513	11109	11341	11932	12250	12673	13348	13731	14981	15414	16170	16215	16963	17398	18260	18678	19477	20218	20019	20353	21241	21013	21226	20682
87	3221	3012	3361	3518	3708	3766	3893	4110	4387	4463	4808	4840	5496	5275	5354	5540	5919	6624	6760	7156	7595	7601	7803	8297	8926	9097	9731	9801	10482	10800	11175	11692	12028	13169	13515	14304	14349	15113	15495	16146	16667	17412	17996	17973	18197	18971	18783	19004
88	2841	2637	2452	2700	2858	3038	3021	3177	3326	3596	3716	4004	4025	4360	4313	4509	4634	5048	5609	5725	6098	6419	6432	6659	7075	7631	7780	8307	8460	9030	9366	9724	10121	10440	11344	11754	12441	12551	13227	13501	14182	14658	15269	15875	15814	16028	16771	16509
89	2151	2264	2098	1898	2163	2311	2380	2402	2498	2683	2890	3090	3275	3201	3518	3603	3659	3896	4186	4673	4772	5078	5336	5402	5572	5982	6387	6562	6987	7178	7681	7913	8209	8646	8829	9717	9988	10662	10784	11323	11702	12252	12660	13196	13764	13607	13880	14554
90	1645	1652	1755	1612	1468	1714	1757	1864	1860	1939	2135	2334	2540	2517	2545	2822	2859	2954	3116	3463	3823	3948	4142	4434	4441	4566	4946	5244	5485	5825	5968	6413	6611	6922	7216	7450	8212	8412	8950	9033	9573	9953	10396	10803	11260	11667	11582	11811
91	1229	1279	1255	1339	1235	1102	1285	1376	1403	1403	1509	1731	1890	1852	1946	2159	2242	2300	2379	2489	2796	3089	3121	3344	3599	3642	3748	4017	4258	4471	4810	4778	5242	5461	5665	5886	6080	6713	6954	7347	7543	7968	8288	8649	9060	9365	9759	9652
92	916	910	932	908	1010	925	816	999	1019	1043	1064	1197	1379	1345	1407	1618	1575	1756	1783	1867	1953	2210	2413	2476	2663	2848	2845	3008	3226	3375	3584	3836	3822	4222	4328	4527	4711	4849	5409	5488	5970	6124	6452	6742	7113	7341	7627	7874
93	588	651	667	635	648	737	666	609	710	743	785	840	963	937	988	1181	1093	1202	1353	1366	1409	1550	1694	1856	1943	2061	2183	2197	2346	2516	2672	2781	3028	2984	3268	3454	3570	3734	3811	4222	4393	4707	4909	5121	5331	5619	5871	6037
