age 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002
0.000000e+00 1.568988e-02 1.539434e-02 1.561720e-02 1.320769e-02 1.365795e-02 1.393384e-02 1.396010e-02 1.347624e-02 1.379719e-02 1.358964e-02 1.188727e-02 1.051431e-02 1.117561e-02 1.043401e-02 8.933282e-03 9.669575e-03 9.919556e-03 8.760427e-03 8.602033e-03 8.498584e-03 6.950932e-03 7.073421e-03 6.807521e-03 6.461381e-03 6.652224e-03 5.717808e-03 6.278575e-03 6.361571e-03 6.897312e-03 5.597349e-03 6.551649e-03 5.407437e-03 5.685242e-03 5.293580e-03 5.098579e-03 5.614902e-03 5.590450e-03 4.637402e-03 4.012774e-03 3.801225e-03 3.255137e-03 3.444500e-03 2.960357e-03 2.955217e-03 2.607532e-03 2.848475e-03 3.288355e-03 3.162853e-03
1.000000e+00 1.221234e-03 1.213351e-03 1.088859e-03 1.461675e-03 1.103817e-03 1.368179e-03 8.596218e-04 9.523810e-04 8.181183e-04 8.332364e-04 9.051613e-04 6.215354e-04 7.094235e-04 5.751988e-04 5.647784e-04 5.241659e-04 6.290267e-04 5.609259e-04 5.264209e-04 6.632399e-04 7.492180e-04 4.642957e-04 4.318552e-04 5.773553e-04 5.532503e-04 5.891466e-04 4.450473e-04 3.987241e-04 3.461555e-04 4.631263e-04 5.136795e-04 5.884148e-04 4.159907e-04 5.193871e-04 5.040323e-04 4.016504e-04 4.223270e-04 2.301382e-04 3.153527e-04 2.508991e-04 1.565735e-04 2.727124e-04 4.778973e-04 2.356722e-04 2.940245e-04 1.605284e-04 3.440051e-04 1.799816e-04
2.000000e+00 8.978890e-04 9.927074e-04 7.953551e-04 6.016147e-04 7.990489e-04 5.236821e-04 5.748721e-04 6.787918e-04 5.065548e-04 6.378187e-04 4.827373e-04 5.330980e-04 4.019831e-04 4.895258e-04 3.715589e-04 4.069590e-04 3.581277e-04 4.757827e-04 3.561921e-04 3.453792e-04 2.938422e-04 2.796838e-04 1.291727e-04 3.509661e-04 3.294689e-04 2.760788e-04 1.090822e-04 2.119497e-04 2.100002e-04 1.513121e-04 3.083633e-04 2.672665e-04 2.821181e-04 3.105526e-04 3.183193e-04 1.926226e-04 2.540650e-04 1.928911e-04 2.135068e-04 1.488784e-04 1.664309e-04 1.217582e-04 2.000473e-04 9.958374e-05 1.923324e-04 1.352509e-04 1.369644e-04 1.595442e-04
3.000000e+00 7.465401e-04 4.583389e-04 5.725082e-04 7.536393e-04 4.850037e-04 5.075548e-04 5.234486e-04 6.734140e-04 5.191486e-04 4.048173e-04 4.769475e-04 3.456951e-04 2.382436e-04 3.185247e-04 4.214004e-04 4.363661e-04 2.860364e-04 3.758457e-04 3.630111e-04 2.065534e-04 2.541342e-04 1.646331e-04 2.599042e-04 2.021464e-04 2.725326e-04 2.467410e-04 1.484970e-04 2.833973e-04 1.695598e-04 2.730232e-04 1.296176e-04 1.758203e-04 3.325574e-04 1.511455e-04 1.030015e-04 1.775989e-04 1.339610e-04 2.348648e-04 2.272131e-04 4.905167e-05 8.192289e-05 1.164977e-04 1.219066e-04 1.090909e-04 5.967418e-05 4.266030e-05 1.570845e-04 1.135538e-04
4.000000e+00 4.943878e-04 6.309993e-04 4.958047e-04 3.810613e-04 3.767150e-04 6.988663e-04 7.402645e-04 3.681671e-04 4.357644e-04 4.789463e-04 3.430670e-04 5.932254e-04 4.978268e-04 3.295617e-04 4.185011e-04 2.507439e-04 2.666089e-04 3.367967e-04 1.979877e-04 3.255520e-04 2.628170e-04 3.077480e-04 2.734382e-04 2.404291e-04 3.304996e-04 2.722305e-04 1.232970e-04 2.548095e-04 1.528585e-04 6.361458e-05 1.888019e-04 3.447459e-04 1.970616e-04 6.619886e-05 2.146936e-04 1.020762e-04 2.547571e-04 7.611219e-05 1.080614e-04 1.910618e-04 1.780022e-04 8.191350e-05 1.666361e-05 8.708526e-05 7.268366e-05 1.190736e-04 1.062248e-04 6.702413e-05
5.000000e+00 5.027216e-04 4.391342e-04 3.820585e-04 3.995206e-04 5.520760e-04 4.164601e-04 4.465239e-04 4.668988e-04 3.485535e-04 3.760291e-04 4.776880e-04 3.213626e-04 2.562283e-04 3.638174e-04 2.925634e-04 4.489226e-04 1.828123e-04 3.167353e-04 3.210978e-04 3.790272e-04 2.488181e-04 3.369651e-04 1.623113e-04 2.362520e-04 3.139775e-04 1.834324e-04 1.555694e-04 1.645143e-04 1.275402e-04 1.310444e-04 1.271348e-04 1.256860e-04 4.299966e-05 1.743451e-04 1.536233e-04 1.489869e-04 6.083712e-05 2.341098e-04 9.483707e-05 8.950949e-05 1.373532e-04 1.617102e-04 4.916985e-05 1.165889e-04 6.958095e-05 7.252420e-05 9.876738e-05 1.057172e-04
6.000000e+00 4.634457e-04 3.810910e-04 4.208061e-04 3.050350e-04 3.232677e-04 4.572474e-04 4.165427e-04 5.819367e-04 3.500039e-04 3.290620e-04 2.173655e-04 5.155048e-04 2.805499e-04 5.120731e-04 3.060093e-04 4.899470e-04 2.979738e-04 3.323087e-04 2.174822e-04 4.068831e-04 3.790956e-04 1.911425e-04 1.679700e-04 1.799370e-04 1.817158e-04 1.293828e-04 1.467728e-04 1.167838e-04 1.029824e-04 1.276324e-04 1.964637e-04 1.903875e-04 1.254522e-04 1.284852e-04 1.949782e-04 4.350096e-05 1.268472e-04 1.008939e-04 1.749271e-04 1.130817e-04 5.305321e-05 8.571918e-05 9.702144e-05 3.277023e-05 1.164435e-04 1.909822e-04 5.424955e-05 1.180730e-04
7.000000e+00 4.568669e-04 3.802847e-04 4.155197e-04 2.557872e-04 2.096316e-04 3.614091e-04 2.477370e-04 3.368938e-04 2.716548e-04 2.917266e-04 5.021826e-04 2.758675e-04 2.769864e-04 3.404630e-04 3.543237e-04 3.427266e-04 1.625047e-04 2.650499e-04 3.002352e-04 2.852732e-04 2.036107e-04 2.343609e-04 9.541438e-05 2.048455e-04 8.996365e-05 1.998764e-04 1.293446e-04 1.470183e-04 9.744879e-05 1.443894e-04 6.377687e-05 1.091322e-04 1.266517e-04 1.251356e-04 0.000000e+00 1.289297e-04 1.079541e-04 8.409545e-05 2.211544e-04 9.655492e-05 5.583993e-05 7.064142e-05 8.570008e-05 4.846292e-05 1.308365e-04 9.967605e-05 1.211429e-04 3.601268e-05
8.000000e+00 4.283199e-04 1.957458e-04 3.470902e-04 2.593809e-04 3.102983e-04 1.334401e-04 3.618634e-04 3.045647e-04 2.574665e-04 2.520650e-04 1.940956e-04 3.082673e-04 2.556790e-04 4.152988e-04 3.601585e-04 2.346133e-04 1.516386e-04 1.988287e-04 1.662842e-04 2.172859e-04 1.846722e-04 1.355496e-04 1.619025e-04 2.093404e-04 7.447264e-05 1.618385e-04 1.272311e-04 1.662603e-04 1.840197e-04 9.747349e-05 8.240287e-05 8.492028e-05 1.090037e-04 6.312733e-05 1.244917e-04 1.691618e-04 8.538798e-05 1.504406e-04 6.280618e-05 0.000000e+00 5.728033e-05 7.430387e-05 5.295021e-05 1.711391e-04 1.451075e-04 1.632546e-05 1.159747e-04 1.725209e-05
9.000000e+00 4.120248e-04 2.853429e-04 2.608242e-04 3.631502e-04 2.764674e-04 2.556331e-04 3.620496e-04 2.853610e-04 2.283626e-04 2.573748e-04 1.935322e-04 2.904388e-04 2.114734e-04 2.358954e-04 1.581434e-04 2.987155e-04 2.725751e-04 3.034441e-04 2.536691e-04 6.661227e-05 2.339025e-04 2.847953e-04 2.536312e-04 1.257116e-04 2.662255e-04 1.302083e-04 1.079875e-04 1.454387e-04 9.246930e-05 1.105298e-04 5.847383e-05 8.229945e-05 1.482674e-04 1.304433e-04 6.286277e-05 1.648771e-04 1.051259e-04 6.370103e-05 1.070091e-04 1.247505e-04 1.578968e-04 1.143554e-04 9.284706e-05 5.285412e-05 8.537668e-05 8.045829e-05 8.136564e-05 9.912276e-05
1.000000e+01 2.857052e-04 2.533770e-04 2.851079e-04 2.116747e-04 2.804679e-04 2.419383e-04 3.104002e-04 4.567948e-04 2.663572e-04 2.852308e-04 1.975660e-04 1.929831e-04 2.318303e-04 1.537072e-04 1.570814e-04 2.752005e-04 2.379961e-04 1.947003e-04 2.090023e-04 1.996443e-04 2.994809e-04 1.500951e-04 1.003126e-04 1.689446e-04 1.076619e-04 1.140945e-04 1.488317e-04 1.260648e-04 9.101997e-05 9.247956e-05 2.024664e-04 9.728762e-05 2.054907e-04 8.450585e-05 1.082064e-04 2.082249e-04 1.434661e-04 1.884856e-04 6.346251e-05 8.501413e-05 8.228252e-05 1.379256e-04 9.524172e-05 7.415784e-05 1.583197e-04 1.022303e-04 9.627728e-05 8.109379e-05
1.100000e+01 3.184820e-04 2.379895e-04 4.115161e-04 3.322890e-04 2.277682e-04 2.970885e-04 2.246337e-04 2.554139e-04 1.902443e-04 1.711938e-04 1.708331e-04 2.168684e-04 2.118766e-04 1.929831e-04 1.919791e-04 1.368738e-04 2.932093e-04 1.783874e-04 2.339637e-04 1.711938e-04 1.270902e-04 2.490371e-04 1.165831e-04 2.170574e-04 2.533912e-04 1.435467e-04 7.604274e-05 1.675260e-04 9.009658e-05 1.274280e-04 1.478415e-04 1.287049e-04 7.767594e-05 2.050189e-04 1.263690e-04 1.075593e-04 1.657413e-04 1.020096e-04 1.878287e-04 1.471485e-04 6.303713e-05 8.212709e-05 7.872466e-05 1.331381e-04 5.545799e-05 1.053482e-04 1.018607e-04 9.589720e-05
1.200000e+01 3.310467e-04 3.184393e-04 2.378725e-04 4.111517e-04 2.056019e-04 2.766702e-04 1.155516e-04 2.762622e-04 2.554092e-04 2.091971e-04 3.418284e-04 1.894765e-04 9.844458e-05 3.465003e-04 1.542496e-04 1.719789e-04 3.114295e-04 2.148983e-04 3.571429e-04 1.755961e-04 2.470497e-04 1.992681e-04 2.320839e-04 9.975726e-05 2.838063e-04 2.364665e-04 1.255786e-04 1.331102e-04 1.861296e-04 1.622235e-04 1.455922e-04 1.847200e-05 9.182231e-05 1.356300e-04 1.022202e-04 6.286145e-05 1.284522e-04 8.253549e-05 1.016901e-04 6.227038e-05 8.323103e-05 8.389438e-05 2.050525e-04 2.161567e-04 1.897785e-05 1.844644e-04 5.249160e-05 5.075884e-05
1.300000e+01 2.308693e-04 2.390101e-04 2.010353e-04 2.376614e-04 2.529404e-04 2.056441e-04 3.579215e-04 2.804355e-04 3.795918e-04 2.006201e-04 2.468339e-04 1.326386e-04 2.270233e-04 2.556991e-04 3.076982e-04 2.688275e-04 3.611961e-04 1.944996e-04 2.150075e-04 2.581568e-04 2.729630e-04 1.138369e-04 3.074697e-04 1.489770e-04 1.495687e-04 1.835842e-04 8.445090e-05 1.256214e-04 9.509862e-05 1.488566e-04 1.261057e-04 2.181144e-04 1.475579e-04 9.161200e-05 1.352657e-04 1.221573e-04 1.250886e-04 1.705212e-04 1.439559e-04 1.818586e-04 1.233806e-04 1.661854e-04 1.676832e-04 8.186321e-05 5.880508e-05 1.703610e-04 1.286339e-04 6.966335e-05
1.400000e+01 2.417264e-04 4.193048e-04 4.412170e-04 4.016266e-04 1.425630e-04 2.054979e-04 3.489073e-04 2.114371e-04 2.308898e-04 2.932652e-04 2.914337e-04 3.033118e-04 3.971932e-04 2.647153e-04 2.554329e-04 2.107199e-04 2.869989e-04 1.709402e-04 2.530463e-04 1.955952e-04 3.769916e-04 3.310484e-04 2.652721e-04 1.805250e-04 2.317037e-04 2.823686e-04 2.834467e-04 1.520527e-04 1.077586e-04 2.472846e-04 1.486906e-04 1.620483e-04 5.445041e-05 7.358758e-05 1.461641e-04 3.077633e-04 2.840909e-04 1.455392e-04 1.912371e-04 1.432020e-04 1.402440e-04 6.157509e-05 8.305820e-05 2.719551e-04 1.837147e-04 9.774598e-05 2.265390e-04 1.463941e-04
1.500000e+01 4.724274e-04 2.852754e-04 4.398643e-04 3.488031e-04 4.346154e-04 3.483879e-04 2.835583e-04 3.482776e-04 4.708709e-04 4.280329e-04 3.614520e-04 3.449027e-04 2.646603e-04 2.831204e-04 3.017331e-04 4.487717e-04 2.665042e-04 4.579104e-04 1.899588e-04 3.503650e-04 3.712605e-04 3.962044e-04 3.304564e-04 4.919211e-04 3.969829e-04 3.474060e-04 2.491074e-04 3.834420e-04 2.533313e-04 2.333764e-04 1.140316e-04 1.671961e-04 2.158467e-04 3.078595e-04 3.851586e-04 2.729158e-04 7.672242e-05 1.617469e-04 1.243962e-04 1.268445e-04 1.825484e-04 2.199472e-04 2.254422e-04 3.107070e-04 1.668265e-04 1.425981e-04 1.168862e-04 1.128541e-04
1.600000e+01 3.356380e-04 5.993407e-04 4.378380e-04 6.257953e-04 4.030854e-04 3.006062e-04 3.632229e-04 3.928532e-04 4.735970e-04 3.402187e-04 3.936298e-04 3.595890e-04 2.890957e-04 2.260483e-04 4.886208e-04 3.363103e-04 3.668804e-04 3.981269e-04 4.383123e-04 3.984442e-04 5.240276e-04 3.896053e-04 3.751086e-04 2.517818e-04 2.266589e-04 2.522750e-04 2.146951e-04 2.654809e-04 3.831609e-04 1.857763e-04 2.153200e-04 1.709110e-04 2.595861e-04 2.692177e-04 1.987174e-04 2.374733e-04 9.069143e-05 3.058806e-04 2.218279e-04 1.236833e-04 1.887069e-04 1.417205e-04 2.994550e-04 2.863044e-04 1.445922e-04 1.455604e-04 1.217607e-04 1.938623e-04
1.700000e+01 4.426428e-04 4.223255e-04 2.554170e-04 3.916108e-04 4.155758e-04 4.567712e-04 3.819963e-04 2.675817e-04 4.543176e-04 4.246351e-04 3.705195e-04 4.228536e-04 2.891599e-04 4.847571e-04 3.177333e-04 5.185665e-04 4.605239e-04 4.800492e-04 3.212821e-04 3.614366e-04 3.591547e-04 4.058363e-04 3.295787e-04 2.552824e-04 3.278752e-04 2.446322e-04 2.694788e-04 2.309164e-04 2.154922e-04 1.331381e-04 2.361315e-04 3.045558e-04 3.978855e-04 2.035341e-04 4.116110e-04 1.438228e-04 4.187071e-04 1.445818e-04 3.427984e-04 1.805416e-04 1.431112e-04 2.508151e-04 2.627749e-04 2.788734e-04 2.039568e-04 1.852424e-04 2.071723e-04 2.222043e-04
